fund,date,ticker,weight
equity_min_variance,2021-01-04,ABBV,0.16325120518338498
equity_min_variance,2021-02-01,ABBV,0.14907196183469826
equity_min_variance,2021-03-01,ABBV,0.18064115979369197
equity_min_variance,2021-04-01,ABBV,0.10852689192310531
equity_min_variance,2021-05-03,ABBV,0.0869304787338572
equity_min_variance,2021-06-01,ABBV,0.04916837252518189
equity_min_variance,2021-07-01,ABBV,0.03778033496640056
equity_min_variance,2021-08-02,ABBV,0.030366222788859826
equity_min_variance,2021-09-01,ABBV,0.020057018399422658
equity_min_variance,2021-10-01,ABBV,6.630761987650137e-17
equity_min_variance,2021-11-01,ABBV,0.015866498990129735
equity_min_variance,2021-12-01,ABBV,0.03121040853435888
equity_min_variance,2022-01-03,ABBV,0.021713961323530845
equity_min_variance,2022-02-01,ABBV,0.04751999725182996
equity_min_variance,2022-03-01,ABBV,0.03440501510621759
equity_min_variance,2022-04-01,ABBV,0.045535677883247784
equity_min_variance,2022-05-02,ABBV,0.018944308793060596
equity_min_variance,2022-06-01,ABBV,0.06715859841782941
equity_min_variance,2022-07-01,ABBV,0.04328498492022907
equity_min_variance,2022-08-01,ABBV,0.0544209693510401
equity_min_variance,2022-09-01,ABBV,0.05350844735678333
equity_min_variance,2022-10-03,ABBV,0.07340142163796957
equity_min_variance,2022-11-01,ABBV,0.08824881539062977
equity_min_variance,2022-12-01,ABBV,0.06361164755543182
equity_min_variance,2023-01-03,ABBV,0.07808191395413769
equity_min_variance,2023-02-01,ABBV,0.06274368758204402
equity_min_variance,2023-03-01,ABBV,0.04826280628180517
equity_min_variance,2023-04-03,ABBV,0.05539199751707543
equity_min_variance,2023-05-01,ABBV,0.0768690441397403
equity_min_variance,2023-06-01,ABBV,0.05021616441238703
equity_min_variance,2023-07-03,ABBV,0.0871048813500732
equity_min_variance,2023-08-01,ABBV,0.08765882216164722
equity_min_variance,2023-09-01,ABBV,0.07430602579335312
equity_min_variance,2023-10-02,ABBV,0.0624686000941169
equity_min_variance,2023-11-01,ABBV,0.07645561467968592
equity_min_variance,2023-12-01,ABBV,0.08785467678480428
equity_min_variance,2021-01-04,ABT,1.0010259419966239e-15
equity_min_variance,2021-02-01,ABT,1.5392393412793879e-15
equity_min_variance,2021-03-01,ABT,5.236289917290304e-16
equity_min_variance,2021-04-01,ABT,2.534690103295119e-16
equity_min_variance,2021-05-03,ABT,7.93514234562733e-16
equity_min_variance,2021-06-01,ABT,0.0
equity_min_variance,2021-07-01,ABT,0.0016094221523826088
equity_min_variance,2021-08-02,ABT,0.009848321693193501
equity_min_variance,2021-09-01,ABT,0.011721472983477909
equity_min_variance,2021-10-01,ABT,0.03335518272112285
equity_min_variance,2021-11-01,ABT,0.05579856875884155
equity_min_variance,2021-12-01,ABT,0.07814230024284635
equity_min_variance,2022-01-03,ABT,0.06915618364504889
equity_min_variance,2022-02-01,ABT,0.0358754726039114
equity_min_variance,2022-03-01,ABT,0.012828258812439493
equity_min_variance,2022-04-01,ABT,4.0047386786045426e-17
equity_min_variance,2022-05-02,ABT,0.0
equity_min_variance,2022-06-01,ABT,0.0
equity_min_variance,2022-07-01,ABT,2.1705136147654456e-16
equity_min_variance,2022-08-01,ABT,2.9185806157421234e-17
equity_min_variance,2022-09-01,ABT,3.321442552828004e-17
equity_min_variance,2022-10-03,ABT,3.164142396445274e-16
equity_min_variance,2022-11-01,ABT,2.4711798000670387e-16
equity_min_variance,2022-12-01,ABT,3.5091707451888746e-16
equity_min_variance,2023-01-03,ABT,9.670578739204778e-17
equity_min_variance,2023-02-01,ABT,0.0
equity_min_variance,2023-03-01,ABT,1.6892805059708327e-16
equity_min_variance,2023-04-03,ABT,0.0
equity_min_variance,2023-05-01,ABT,5.812498844901304e-17
equity_min_variance,2023-06-01,ABT,0.0
equity_min_variance,2023-07-03,ABT,8.200020580950562e-17
equity_min_variance,2023-08-01,ABT,0.0
equity_min_variance,2023-09-01,ABT,1.0962449647268872e-17
equity_min_variance,2023-10-02,ABT,1.8820033041388314e-16
