fund,date,daily_return
equity_min_variance,2021-06-15,-0.004468229977606233
equity_min_variance,2021-06-16,-0.011002512586167405
equity_min_variance,2021-06-17,-0.0004144281054204844
equity_min_variance,2021-06-18,-0.010726415468122863
equity_min_variance,2021-06-21,0.01039464572106693
equity_min_variance,2021-06-22,-0.0008108665285243246
equity_min_variance,2021-06-23,-0.007386799928627518
equity_min_variance,2021-06-24,0.0051800647644518446
equity_min_variance,2021-06-25,0.011303032345100668
equity_min_variance,2021-06-28,0.002241819179990138
equity_min_variance,2021-06-29,-0.003051678004039166
equity_min_variance,2021-06-30,0.007583657225821069
equity_min_variance,2021-07-01,0.0035902216360789996
equity_min_variance,2021-07-02,0.0050667025443099185
equity_min_variance,2021-07-06,-0.002129619075514615
equity_min_variance,2021-07-07,0.0023224804501954456
equity_min_variance,2021-07-08,-0.0049056230563866085
equity_min_variance,2021-07-09,0.00683491379184241
equity_min_variance,2021-07-12,0.002117934752538123
equity_min_variance,2021-07-13,-0.0026006823755807635
equity_min_variance,2021-07-14,0.004104519638472964
equity_min_variance,2021-07-15,0.0014982092455647464
equity_min_variance,2021-07-16,-0.0013310687599801018
equity_min_variance,2021-07-19,-0.013608564876009463
equity_min_variance,2021-07-20,0.005397607622979225
equity_min_variance,2021-07-21,-0.001743951535484069
equity_min_variance,2021-07-22,-8.714110817796084e-05
equity_min_variance,2021-07-23,0.010211199940402323
equity_min_variance,2021-07-26,0.001059607544688475
equity_min_variance,2021-07-27,0.0011636544796109012
equity_min_variance,2021-07-28,-0.0009799545665708964
equity_min_variance,2021-07-29,-0.0006380939603552443
equity_min_variance,2021-07-30,-0.002681277234421954
equity_min_variance,2021-08-02,-0.0015537749105122944
equity_min_variance,2021-08-03,0.0006643469246855084
equity_min_variance,2021-08-04,-0.008180076860317945
equity_min_variance,2021-08-05,0.004438927816994379
equity_min_variance,2021-08-06,-0.0011914976593409715
equity_min_variance,2021-08-09,0.0011248287725097181
equity_min_variance,2021-08-10,0.004475465905978872
equity_min_variance,2021-08-11,0.004139895411760862
equity_min_variance,2021-08-12,0.002792529206068336
equity_min_variance,2021-08-13,0.003946547315858807
equity_min_variance,2021-08-16,0.006751535813534033
equity_min_variance,2021-08-17,0.0028674611660239628
