horizon,correlation,p_value,n_obs
same_day,0.05082595501896993,4.1576757750750524e-30,50250
1d,0.0056313532287405885,0.2068295030267392,50250
5d,-0.00782433633484925,0.08004372344058454,50050
21d,-0.013753517867457559,0.002270991941659756,49250
