fund,variant,k,annualised_return,annualised_vol,sharpe,max_drawdown
equity_min_variance,base,,0.05548185397158223,0.127600903784715,0.43480768808024906,-0.15382440893381688
equity_min_variance,vanilla_tilt,0.5,0.05502194325752874,0.13040193255014557,0.4219411643793719,-0.1602248963981896
equity_min_variance,extended_tilt,0.5,0.05543107626607924,0.13008183962191547,0.4261246337474191,-0.15065960412427204
equity_min_variance,extended_tilt_ksens,0.25,0.0556917147974485,0.12832269735658328,0.4339973827287334,-0.15263983494643096
equity_min_variance,extended_tilt_ksens,0.5,0.05543107626607924,0.13008183962191547,0.4261246337474191,-0.15065960412427204
equity_min_variance,extended_tilt_ksens,1.0,0.06303819646755637,0.13524081911938282,0.4661181208308852,-0.1387522965025696
equity_max_sharpe,base,,0.07376056433158484,0.17652364344512575,0.4178509059298569,-0.24738088756316445
equity_max_sharpe,vanilla_tilt,0.5,0.043587441875280186,0.18159743409068252,0.24002234444300768,-0.28756129685769294
equity_max_sharpe,extended_tilt,0.5,0.04280161239804792,0.1825093457930912,0.23451737340931367,-0.29138710221574227
equity_max_sharpe,extended_tilt_ksens,0.25,0.05743273785015446,0.17894485173070204,0.32095216651768343,-0.2684773525029106
equity_max_sharpe,extended_tilt_ksens,0.5,0.04280161239804792,0.1825093457930912,0.23451737340931367,-0.29138710221574227
equity_max_sharpe,extended_tilt_ksens,1.0,0.014779870656700389,0.19270991247402877,0.07669491655595169,-0.325463543453709
equity_equal_weight,base,,0.12643529221978822,0.16166197477746672,0.7820966704992363,-0.20321862626913634
equity_equal_weight,vanilla_tilt,0.5,0.12073588083550346,0.16077241514435475,0.7509738578418246,-0.20584832210137127
equity_equal_weight,extended_tilt,0.5,0.12726654873739207,0.16049487662489764,0.7929633108154255,-0.20312711348268075
equity_equal_weight,extended_tilt_ksens,0.25,0.12569516555600835,0.16077102108665925,0.7818272516180375,-0.20402642249924918
equity_equal_weight,extended_tilt_ksens,0.5,0.12726654873739207,0.16049487662489764,0.7929633108154255,-0.20312711348268075
equity_equal_weight,extended_tilt_ksens,1.0,0.13026516143326328,0.1612902694569021,0.8076442668977687,-0.1965790544721554
