fund,asset_family,method,first_live_date,window,periods_per_year,annualised_return,annualised_vol,sharpe,max_drawdown
equity_min_variance,equity,min_variance,2021-01-04,252,252,0.05548185397158223,0.127600903784715,0.43480768808024906,-0.15382440893381688
equity_max_sharpe,equity,max_sharpe,2021-01-04,252,252,0.07376056433158484,0.17652364344512575,0.4178509059298569,-0.24738088756316445
equity_equal_weight,equity,equal_weight,2021-01-04,252,252,0.12643529221978822,0.16166197477746672,0.7820966704992363,-0.20321862626913634
crypto_min_variance,crypto,min_variance,2021-01-01,365,365,0.6588626302371219,0.7302526962514985,0.9022392298161541,-0.7177352003663364
crypto_max_sharpe,crypto,max_sharpe,2021-01-01,365,365,0.07559608077123281,0.757472571456425,0.09980042000185034,-0.8483132260677816
crypto_equal_weight,crypto,equal_weight,2021-01-01,365,365,0.3418797885401814,0.8042210448398298,0.4251067423985042,-0.8159730614257941
combined_min_variance,combined,min_variance,2021-01-04,252,252,0.05617286800101362,0.12789197861179655,0.4392211975351543,-0.15553872083524345
combined_max_sharpe,combined,max_sharpe,2021-01-04,252,252,0.20618059624967144,0.22935355007579578,0.8989640499636207,-0.2489522119103319
combined_equal_weight,combined,equal_weight,2021-01-04,252,252,0.1497918531249407,0.21251687241172795,0.7048468736860363,-0.28746987990265394
