fund,n_dates,mean_pearson,pearson_pvalue,mean_spearman,spearman_pvalue
equity_min_variance,36,-0.023753316130375974,0.39798053353381846,-0.020088012778825208,0.4322899834620646
equity_max_sharpe,36,0.010187239887274968,0.6192940844204422,0.06025481482998832,0.01838745525259513
equity_equal_weight,0,,,,
